time,open,high,low,close,volume
12/8/2009,523.42,523.42,523.42,523.42,
12/9/2009,503.71,503.71,503.71,503.71,
12/10/2009,492.05,492.05,492.05,492.05,
12/11/2009,479.32,479.32,479.32,479.32,
12/14/2009,492.74,492.74,492.74,492.74,
12/15/2009,489.69,489.69,489.69,489.69,
12/16/2009,467.25,467.25,467.25,467.25,
12/17/2009,456.87,456.87,456.87,456.87,
12/18/2009,460.26,460.26,460.26,460.26,
12/21/2009,481,481,481,481,
12/22/2009,491.11,491.11,491.11,491.11,
12/23/2009,500.55,500.55,500.55,500.55,
12/24/2009,510.01,510.01,510.01,510.01,
12/25/2009,527.54,527.54,527.54,527.54,
12/28/2009,526.56,526.56,526.56,526.56,
12/29/2009,512.66,512.66,512.66,512.66,
12/30/2009,524.86,524.86,524.86,524.86,
12/31/2009,525.97,525.97,525.97,525.97,
1/4/2010,550.43,550.43,550.43,550.43,
1/5/2010,566.65,566.65,566.65,566.65,
1/6/2010,565.41,565.41,565.41,565.41,
1/7/2010,560.61,560.61,560.61,560.61,
1/8/2010,547.5,547.5,547.5,547.5,
1/11/2010,540.78,540.78,540.78,540.78,
1/12/2010,523.61,523.61,523.61,523.61,
1/13/2010,537.17,537.17,537.17,537.17,
1/14/2010,538.11,538.11,538.11,538.11,
1/15/2010,528.89,528.89,528.89,528.89,
1/18/2010,508.79,508.79,508.79,508.79,
1/19/2010,519.86,519.86,519.86,519.86,
1/20/2010,515.43,515.43,515.43,515.43,
1/21/2010,503.53,503.53,503.53,503.53,
1/22/2010,503.64,503.64,503.64,503.64,
1/25/2010,507.03,507.03,507.03,507.03,
1/26/2010,525.9,525.9,525.9,525.9,
1/27/2010,511.32,511.32,511.32,511.32,
1/28/2010,505.28,505.28,505.28,505.28,
1/29/2010,504.97,504.97,504.97,504.97,
2/1/2010,511.86,511.86,511.86,511.86,
2/2/2010,514.93,514.93,514.93,514.93,
2/3/2010,523.91,523.91,523.91,523.91,
2/4/2010,534.61,534.61,534.61,534.61,
2/5/2010,521.39,521.39,521.39,521.39,
2/8/2010,521.39,521.39,521.39,521.39,
2/9/2010,510.17,510.17,510.17,510.17,
2/10/2010,519.69,519.69,519.69,519.69,
2/11/2010,530.24,530.24,530.24,530.24,
2/12/2010,535.8,535.8,535.8,535.8,
2/22/2010,536.57,536.57,536.57,536.57,
2/23/2010,521.29,521.29,521.29,521.29,
2/24/2010,521.93,521.93,521.93,521.93,
2/25/2010,520.01,520.01,520.01,520.01,
2/26/2010,517.02,517.02,517.02,517.02,
3/1/2010,522.5,522.5,522.5,522.5,
3/2/2010,520.4,520.4,520.4,520.4,
3/3/2010,529.41,529.41,529.41,529.41,
3/4/2010,536.46,536.46,536.46,536.46,
3/5/2010,538.84,538.84,538.84,538.84,
3/8/2010,546.69,546.69,546.69,546.69,
3/9/2010,553.07,553.07,553.07,553.07,
3/10/2010,553.75,553.75,553.75,553.75,
3/11/2010,555,555,555,555,
3/12/2010,561.36,561.36,561.36,561.36,
3/15/2010,559.88,559.88,559.88,559.88,
3/16/2010,542.91,542.91,542.91,542.91,
3/17/2010,537.97,537.97,537.97,537.97,
3/18/2010,546.78,546.78,546.78,546.78,
3/19/2010,542.82,542.82,542.82,542.82,
3/22/2010,536.51,536.51,536.51,536.51,
3/23/2010,530.42,530.42,530.42,530.42,
3/24/2010,536.3,536.3,536.3,536.3,
3/25/2010,529.28,529.28,529.28,529.28,
3/26/2010,530.84,530.84,530.84,530.84,
3/29/2010,530.89,530.89,530.89,530.89,
3/30/2010,521.83,521.83,521.83,521.83,
3/31/2010,520.44,520.44,520.44,520.44,
4/1/2010,531.49,531.49,531.49,531.49,
4/2/2010,534.26,534.26,534.26,534.26,
4/5/2010,539.87,539.87,539.87,539.87,
4/6/2010,539.47,539.47,539.47,539.47,
4/7/2010,539.96,539.96,539.96,539.96,
4/8/2010,539.34,539.34,539.34,539.34,
4/9/2010,540.28,540.28,540.28,540.28,
4/12/2010,542.37,542.37,542.37,542.37,
4/13/2010,540.08,540.08,540.08,540.08,
4/14/2010,538.31,538.31,538.31,538.31,
4/15/2010,543.72,543.72,543.72,543.72,
4/16/2010,541.88,541.88,541.88,541.88,
4/19/2010,536.62,536.62,536.62,536.62,
4/20/2010,534.12,534.12,534.12,534.12,
4/21/2010,536.67,536.67,536.67,536.67,
4/22/2010,551.44,551.44,551.44,551.44,
4/26/2010,554.68,554.68,554.68,554.68,
4/27/2010,560.04,560.04,560.04,560.04,
4/28/2010,561.29,561.29,561.29,561.29,
4/29/2010,560.62,560.62,560.62,560.62,
5/4/2010,568.34,568.34,568.34,568.34,
5/5/2010,565.47,565.47,565.47,565.47,
5/6/2010,562.56,562.56,562.56,562.56,
5/7/2010,555.2,555.2,555.2,555.2,
5/10/2010,547.38,547.38,547.38,547.38,
5/11/2010,549.35,549.35,549.35,549.35,
5/12/2010,535.58,535.58,535.58,535.58,
5/13/2010,537.58,537.58,537.58,537.58,
5/14/2010,537.83,537.83,537.83,537.83,
5/17/2010,523.76,523.76,523.76,523.76,
5/18/2010,521.61,521.61,521.61,521.61,
5/19/2010,504.76,504.76,504.76,504.76,
5/20/2010,516.91,516.91,516.91,516.91,
5/21/2010,496.24,496.24,496.24,496.24,
5/24/2010,506.58,506.58,506.58,506.58,
5/25/2010,508.03,508.03,508.03,508.03,
5/26/2010,512.14,512.14,512.14,512.14,
5/27/2010,514.9,514.9,514.9,514.9,
5/28/2010,527.32,527.32,527.32,527.32,
5/31/2010,520.32,520.32,520.32,520.32,
6/1/2010,522.05,522.05,522.05,522.05,
6/2/2010,523.42,523.42,523.42,523.42,
6/3/2010,524.09,524.09,524.09,524.09,
6/4/2010,523.78,523.78,523.78,523.78,
6/7/2010,509.95,509.95,509.95,509.95,
6/8/2010,509.07,509.07,509.07,509.07,
6/9/2010,511.01,511.01,511.01,511.01,
6/10/2010,515.04,515.04,515.04,515.04,
6/11/2010,519.51,519.51,519.51,519.51,
6/14/2010,522.2,522.2,522.2,522.2,
6/15/2010,519.79,519.79,519.79,519.79,
6/16/2010,523.83,523.83,523.83,523.83,
6/17/2010,524.54,524.54,524.54,524.54,
6/18/2010,526.57,526.57,526.57,526.57,
6/21/2010,530.36,530.36,530.36,530.36,
6/22/2010,530.97,530.97,530.97,530.97,
6/23/2010,528.73,528.73,528.73,528.73,
6/24/2010,529.19,529.19,529.19,529.19,
6/25/2010,519.8,519.8,519.8,519.8,
6/28/2010,520.86,520.86,520.86,520.86,
6/29/2010,527.25,527.25,527.25,527.25,
6/30/2010,524.73,524.73,524.73,524.73,
7/1/2010,522.02,522.02,522.02,522.02,
7/2/2010,519.6,519.6,519.6,519.6,
7/5/2010,523.94,523.94,523.94,523.94,
7/6/2010,517.94,517.94,517.94,517.94,
7/7/2010,513.12,513.12,513.12,513.12,
7/8/2010,515.04,515.04,515.04,515.04,
7/9/2010,514.84,514.84,514.84,514.84,
7/12/2010,515.32,515.32,515.32,515.32,
7/13/2010,525.82,525.82,525.82,525.82,
7/14/2010,523.57,523.57,523.57,523.57,
7/15/2010,520.83,520.83,520.83,520.83,
7/16/2010,521.45,521.45,521.45,521.45,
7/19/2010,521.85,521.85,521.85,521.85,
7/20/2010,519.72,519.72,519.72,519.72,
7/21/2010,518.66,518.66,518.66,518.66,
7/22/2010,514.58,514.58,514.58,514.58,
7/23/2010,515.39,515.39,515.39,515.39,
7/26/2010,512.39,512.39,512.39,512.39,
7/27/2010,513.23,513.23,513.23,513.23,
7/28/2010,508.23,508.23,508.23,508.23,
7/29/2010,508.64,508.64,508.64,508.64,
7/30/2010,512.21,512.21,512.21,512.21,
8/2/2010,508.27,508.27,508.27,508.27,
8/3/2010,509.64,509.64,509.64,509.64,
8/4/2010,504.16,504.16,504.16,504.16,
8/5/2010,506.05,506.05,506.05,506.05,
8/6/2010,501.78,501.78,501.78,501.78,
8/9/2010,492.05,492.05,492.05,492.05,
8/10/2010,480.46,480.46,480.46,480.46,
8/11/2010,481.11,481.11,481.11,481.11,
8/12/2010,466.41,466.41,466.41,466.41,
8/13/2010,469.15,469.15,469.15,469.15,
8/16/2010,480.99,480.99,480.99,480.99,
8/17/2010,479.72,479.72,479.72,479.72,
8/18/2010,470.08,470.08,470.08,470.08,
8/19/2010,465.75,465.75,465.75,465.75,
8/20/2010,472.26,472.26,472.26,472.26,
8/23/2010,465.68,465.68,465.68,465.68,
8/24/2010,450.97,450.97,450.97,450.97,
8/25/2010,442.55,442.55,442.55,442.55,
8/26/2010,447.91,447.91,447.91,447.91,
8/27/2010,450.41,450.41,450.41,450.41,
8/30/2010,466.65,466.65,466.65,466.65,
8/31/2010,478.7,478.7,478.7,478.7,
9/1/2010,481.65,481.65,481.65,481.65,
9/6/2010,488.54,488.54,488.54,488.54,
9/7/2010,480.86,480.86,480.86,480.86,
9/8/2010,478.4,478.4,478.4,478.4,
9/9/2010,484.63,484.63,484.63,484.63,
9/10/2010,470.51,470.51,470.51,470.51,
9/13/2010,468.09,468.09,468.09,468.09,
9/14/2010,468.27,468.27,468.27,468.27,
9/15/2010,467.54,467.54,467.54,467.54,
9/16/2010,466.73,466.73,466.73,466.73,
9/17/2010,476.11,476.11,476.11,476.11,
9/20/2010,476.57,476.57,476.57,476.57,
9/21/2010,468.21,468.21,468.21,468.21,
9/22/2010,469.64,469.64,469.64,469.64,
9/23/2010,468.01,468.01,468.01,468.01,
9/24/2010,467.58,467.58,467.58,467.58,
9/27/2010,468.32,468.32,468.32,468.32,
9/28/2010,473.56,473.56,473.56,473.56,
9/29/2010,471.93,471.93,471.93,471.93,
9/30/2010,473.93,473.93,473.93,473.93,
10/1/2010,471.35,471.35,471.35,471.35,
10/4/2010,467.33,467.33,467.33,467.33,
10/5/2010,473.55,473.55,473.55,473.55,
10/6/2010,483.05,483.05,483.05,483.05,
10/7/2010,483.61,483.61,483.61,483.61,
10/8/2010,481.98,481.98,481.98,481.98,
10/11/2010,481.68,481.68,481.68,481.68,
10/12/2010,475.71,475.71,475.71,475.71,
10/13/2010,477.55,477.55,477.55,477.55,
10/14/2010,479.56,479.56,479.56,479.56,
10/15/2010,477.89,477.89,477.89,477.89,
10/18/2010,476.33,476.33,476.33,476.33,
10/19/2010,473.51,473.51,473.51,473.51,
10/20/2010,460.96,460.96,460.96,460.96,
10/21/2010,464.45,464.45,464.45,464.45,
10/22/2010,465.45,465.45,465.45,465.45,
10/25/2010,468.81,468.81,468.81,468.81,
10/26/2010,476.42,476.42,476.42,476.42,
10/27/2010,471.26,471.26,471.26,471.26,
10/28/2010,472.81,472.81,472.81,472.81,
10/29/2010,476.56,476.56,476.56,476.56,
11/1/2010,474.56,474.56,474.56,474.56,
11/2/2010,470.67,470.67,470.67,470.67,
11/3/2010,468.71,468.71,468.71,468.71,
11/4/2010,472.55,472.55,472.55,472.55,
11/5/2010,481.46,481.46,481.46,481.46,
11/8/2010,479.85,479.85,479.85,479.85,
11/9/2010,472.34,472.34,472.34,472.34,
11/10/2010,473.3,473.3,473.3,473.3,
11/11/2010,469.11,469.11,469.11,469.11,
11/12/2010,462.24,462.24,462.24,462.24,
11/15/2010,452.73,452.73,452.73,452.73,
11/16/2010,445.91,445.91,445.91,445.91,
11/17/2010,442.36,442.36,442.36,442.36,
11/18/2010,448.03,448.03,448.03,448.03,
11/19/2010,445.73,445.73,445.73,445.73,
11/22/2010,446.86,446.86,446.86,446.86,
11/23/2010,454.5,454.5,454.5,454.5,
11/24/2010,458,458,458,458,
11/25/2010,461.05,461.05,461.05,461.05,
11/26/2010,459.11,459.11,459.11,459.11,
11/29/2010,467.96,467.96,467.96,467.96,
11/30/2010,472.49,472.49,472.49,472.49,
12/1/2010,469.86,469.86,469.86,469.86,
12/2/2010,478,478,478,478,
12/3/2010,487.18,487.18,487.18,487.18,
12/6/2010,489.14,489.14,489.14,489.14,
12/7/2010,484.87,484.87,484.87,484.87,
12/8/2010,477.67,477.67,477.67,477.67,
12/9/2010,487.59,487.59,487.59,487.59,
12/10/2010,501.99,501.99,501.99,501.99,
12/13/2010,521.76,521.76,521.76,521.76,
12/14/2010,526.29,526.29,526.29,526.29,
12/15/2010,535.04,535.04,535.04,535.04,
12/16/2010,518.43,518.43,518.43,518.43,
12/17/2010,524.03,524.03,524.03,524.03,
12/20/2010,515.75,515.75,515.75,515.75,
12/21/2010,514.64,514.64,514.64,514.64,
12/22/2010,510.72,510.72,510.72,510.72,
12/23/2010,505.88,505.88,505.88,505.88,
12/24/2010,502.49,502.49,502.49,502.49,
12/27/2010,503.46,503.46,503.46,503.46,
12/28/2010,509.42,509.42,509.42,509.42,
12/29/2010,506.67,506.67,506.67,506.67,
